State,County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation__Black/white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,Etowah,72.5,2329,57,62,16,12,189,17250,13991,67,154,39,9523,93,94,6,3,2.8,0.24,9778,0.71,47872,56,64,18,35,6,99,106,14,184,28285,3630,80,102371,51.6,39144
Alabama,Fayette,73.1,365,,,17,12,14,3090,74,12,29,40,1390,62,93,,2.9,2.7,0.11,10080,0.74,45937,61,51,24,5,,21,16,,1,5119,604,70,16241,51.1,13833
Alabama,Franklin,73.7,585,19,,17,13,20,5130,1818,12,67,39,3605,67,93,,2.6,2.5,0.18,10189,0.76,40448,45,59,32,6,5,22,24,20,56,7828,902,63,31507,50,22309
Alabama,Geneva,72.6,601,17,,17,12,40,5230,1035,15,51,38,2818,23,96,15,3.1,2.9,0.04,9687,0.89,39882,58,20,24,7,,22,19,,1,7955,1178,71,26411,51.3,24015
Alabama,Greene,72.9,210,,,21,21,29,1850,2058,,27,48,655,25,88,,2.5,2.6,,13273,0.78,33609,84,20,32,1,,,,11,30,2179,363,56,7990,53.5,9045
Alabama,Hale,72.5,340,14,,18,16,60,2510,1099,,28,43,1235,61,93,,2.8,2.6,0.29,9637,0.59,41836,67,30,26,5,13,11,20,,6,4154,637,63,14670,52.8,14053
Alabama,Henry,75.5,343,11,,16,13,38,2490,1392,,25,40,1498,23,98,,2.8,2.7,0.09,9270,0.78,51126,55,30,18,8,,16,17,27,22,5471,598,78,17223,52,15183
Alabama,Houston,75.6,1736,81,86,16,13,350,17160,4308,44,129,40,10648,174,90,10,3,2.8,0.18,9760,0.73,54391,63,47,17,51,8,81,90,30,202,26229,4701,78,106580,52.2,34327
Alabama,Jackson,73.3,1226,22,24,17,12,39,9390,2859,12,109,40,5254,76,92,8,3.1,2.7,0.11,10268,0.69,46606,58,51,18,10,5,60,61,,50,15731,1567,75,51582,50.9,40994
Alabama,Jefferson,74.1,11877,505,578,13,13,3709,94780,82879,646,754,40,53693,169,91,8,2.8,2.6,0.36,11620,0.77,57802,54,65,21,324,22,462,1024,12,508,166849,36974,83,655342,52.8,64752
Alabama,Lamar,75.3,274,,,17,13,15,2590,61,,29,39,1150,65,93,,3.1,3.1,0.01,9458,0.87,40204,58,23,27,5,,,10,7,0,4100,514,65,13764,50.9,14564
Alabama,Lauderdale,75.9,1624,32,43,14,11,97,14340,5999,30,138,38,7991,102,94,,3.1,3,0.2,11103,0.74,52293,46,50,25,22,6,74,71,19,162,26209,4194,77,93368,52.1,45701
Alabama,Lawrence,72.9,759,19,,17,12,24,5850,1839,,71,39,3592,37,91,,2.9,2.7,0.13,10071,0.71,48924,59,70,27,7,6,36,40,24,33,9842,959,67,32857,51.2,31348
Alabama,Lee,77.7,1915,90,93,14,12,311,23990,15524,42,150,39,13817,72,91,3,3.1,3,0.1,10221,0.8,58963,44,35,22,37,9,105,146,11,202,38483,9023,85,166831,50.9,38441
Alabama,Limestone,77.1,1429,41,42,14,11,111,13540,5320,15,119,39,8691,61,92,7,2.9,2.8,0.08,9371,0.69,70850,44,43,19,15,6,68,83,8,76,25128,2588,83,102228,50.1,47690
Alabama,Lowndes,70.3,267,11,,19,18,50,1940,2283,,26,46,763,31,98,,2.2,2.2,0.09,15440,0.76,37499,96,30,32,2,35,,31,10,6,3163,713,53,9641,53.4,11299
Alabama,Macon,71.3,476,,,17,18,99,2890,4741,,38,45,1281,101,88,11,2.3,2,0.06,12362,0.81,37736,97,55,34,10,39,,44,9,45,4917,922,67,17895,54.7,11916
Alabama,Madison,77.4,5088,176,213,12,11,820,47180,31281,225,333,38,25999,142,95,5,3.2,3,0.13,9710,0.69,67810,37,48,19,133,8,317,332,19,292,102658,15421,88,379453,51.1,55048
Alabama,Marengo,71,457,15,,17,15,26,3350,2785,,35,43,1521,75,91,,2.7,2.6,0.17,10992,0.52,43198,68,29,25,10,14,12,22,,77,5232,806,66,18733,53.1,14575
Alabama,Marion,73.1,710,20,21,17,12,34,5730,317,,49,38,2624,71,92,19,3.1,2.8,0.06,9745,0.75,44333,50,42,25,8,,30,31,,17,8936,860,70,29703,50.5,27346
Alabama,Marshall,73.9,1855,50,51,16,12,125,16380,9331,54,152,38,11351,96,94,8,2.8,2.8,0.16,9949,0.75,51417,61,48,17,24,4,85,74,15,116,25598,2972,84,96990,50.7,49550
Alabama,Mobile,74.4,7719,265,327,15,13,1906,65300,40126,204,553,41,40452,132,86,9,2.8,2.7,0.26,9972,0.7,50871,68,56,24,170,16,315,521,22,324,100955,20843,78,412716,52.5,82682
Alabama,Monroe,73.3,458,13,,18,15,34,4240,2614,,57,43,1947,44,91,,2.5,2.5,0.35,9803,0.62,38812,69,40,31,10,15,10,19,,4,5463,992,48,20459,52.6,18234
Alabama,Montgomery,75.2,3676,173,208,14,14,1484,34010,24643,59,228,43,19612,148,87,9,2.5,2.3,0.23,9701,0.79,49607,70,53,24,142,21,129,333,23,438,51588,13819,83,224639,53,24063
Alabama,Morgan,74.2,2250,65,60,15,12,138,17850,9883,63,137,36,11331,83,93,5,2.9,2.7,0.21,10399,0.71,55688,52,55,24,45,9,140,141,,196,33496,4409,77,119883,50.9,46120
Alabama,Perry,70.8,222,,,20,19,28,1870,2949,,27,45,723,69,98,,2.3,2,,11175,0.76,33712,90,42,32,4,,,10,,19,2458,321,54,8687,53.6,10591
Alabama,Pickens,73.9,408,12,21,17,15,54,3610,296,14,44,42,1611,35,98,,2.9,2.6,0.3,10385,0.76,41870,72,31,26,6,,10,13,29,21,5870,750,71,19793,50,19746
Alabama,Pike,73.9,605,15,,16,14,118,5640,3452,,55,41,3271,94,93,5,2.8,2.9,0.05,10547,0.94,43141,70,24,22,15,13,21,33,36,87,7431,1865,70,32966,52.1,17002
Alabama,Randolph,73.9,486,17,,16,12,16,3520,3021,,49,38,2017,83,95,,2.8,2.6,0.1,9688,0.74,46679,65,38,20,6,,28,28,17,22,6856,817,76,22920,51.5,18638
Alabama,Russell,73.4,1118,43,57,16,15,199,9730,3529,43,115,43,5159,33,94,,2.7,2.5,0.06,9570,0.69,40821,68,36,32,17,15,53,90,,302,14324,3950,74,58237,52.3,18748
Alabama,St. Clair,74.7,1647,43,42,15,11,120,12680,1984,76,130,37,6927,62,93,7,3,2.9,0.05,9108,0.75,61973,43,35,19,20,5,79,74,14,78,26355,2733,82,90739,50.6,60853
Alabama,Shelby,80.3,2392,87,89,11,9,330,22700,11354,116,172,33,14505,60,95,3,3.2,2.9,0.07,10245,0.74,88444,32,32,14,66,3,148,139,10,148,64906,7135,91,221428,51.7,44762
Alabama,Sumter,71.9,283,,,18,18,43,2530,1479,,35,44,1132,16,88,,2.2,1.8,0.35,12154,0.63,32275,80,26,34,8,19,,17,8,8,3367,583,65,12225,54.3,13763
Alabama,Talladega,72.9,1751,59,49,16,13,176,13530,6453,27,170,42,6542,63,95,12,2.7,2.6,0.12,10307,0.77,44802,68,35,21,29,15,63,109,11,71,22692,3588,79,79985,51.8,45931
Alabama,Tallapoosa,73.9,868,20,29,16,13,72,6650,1359,18,62,40,3491,100,92,22,2.5,2.3,0.08,9712,0.76,46654,62,38,28,14,8,39,54,22,51,12248,1417,77,40133,51.5,30890
Alabama,Tuscaloosa,75.8,3009,134,171,14,12,525,29660,13105,96,226,42,15965,111,90,3,2.9,2.6,0.26,10780,0.8,56610,55,54,19,66,8,130,170,27,358,47018,10438,82,210758,52,49653
Alabama,Walker,69.6,1775,51,53,17,12,78,11950,2492,52,132,41,6062,87,94,6,2.9,2.7,0.1,10189,0.71,46519,54,46,26,12,9,71,76,12,39,19824,2457,76,63143,51.3,49656
Alabama,Washington,75.3,301,12,,18,14,14,3050,788,,44,40,1607,56,93,,2.9,2.7,0.15,9587,0.65,36346,62,29,34,5,13,15,21,9,13,5215,358,69,15976,51.2,17581
Alabama,Wilcox,69.8,279,,,20,19,23,2140,2764,,35,44,861,69,88,,2,1.9,,11877,0.6,31909,94,33,37,6,25,,19,5,5,2770,385,63,10206,53,11670
Alabama,Winston,74.8,512,14,,18,12,10,4460,415,13,51,39,2224,55,93,,2.8,2.7,0.12,10554,0.82,46453,54,84,28,6,6,23,27,9,18,7720,810,71,23508,50.9,20785
Alaska,,78.6,8663,472,429,10,7,724,86970,55887,402,529,33,66006,167,80,10,,,0.25,18545,0.83,79961,43,56,20,,8,991,866,30,259,165376,29087,87,731158,47.8,241338
Alaska,Aleutians East,112.5,,,,13,13,,370,458,,,39,650,88,,,,,0.09,37898,0.87,79128,4,,19,,,,,0,0,607,80,58,3401,32.6,3141
Alaska,Aleutians West,91.5,33,,,11,11,,650,434,,,36,807,211,,,,,0.22,21718,0.64,92216,18,,20,,,,,0,0,362,43,79,5680,33.7,5561
Alaska,Anchorage,78.7,3385,159,160,10,8,,32090,13337,189,171,34,23608,216,84,8,,,0.1,15314,0.85,84577,43,49,20,105,9,328,333,30,519,66562,13475,92,287095,49.1,12015
Alaska,Bethel,70.7,280,37,30,21,16,,4080,6780,,16,38,2314,168,56,13,,,0.24,36949,1.01,52214,91,12,23,1,16,52,27,83,0,2510,457,73,18437,48,12579
Alaska,Bristol Bay,,,,,12,10,,110,116,,,34,85,381,,,,,,43462,0.78,87032,100,,21,,,,,,0,146,14,81,788,48.9,997
Alaska,Denali,89.1,,,,11,9,,340,604,,,32,168,192,78,,,,0.03,10864,,80192,1,,23,1,,,,0,6,602,51,85,2081,45.4,1826
Alaska,Dillingham,70.2,87,12,,17,13,,810,1525,,,38,552,124,,19,,,0.22,30172,0.91,72334,97,,18,1,,11,14,68,0,864,115,73,4833,48.6,4847
Alaska,Fairbanks North Star,80.2,938,57,64,11,8,,10990,7544,41,83,33,7781,189,74,,,,0.05,15210,0.83,76650,23,43,26,20,8,132,121,26,147,21315,4125,87,95651,46.1,30124
Alaska,Haines,84.4,34,,,11,8,,350,253,,,31,206,38,,,,,0.07,21019,0.6,105044,40,,17,1,,,,0,7,555,72,86,2614,49.8,2508
Alaska,Hoonah-Angoon,84.3,30,,,14,11,,320,669,,,35,271,234,,,,,0.33,32634,0.65,55593,63,,25,1,,,,0,0,553,44,61,2141,45.9,
Alaska,Juneau,81.1,333,10,,10,8,,3310,613,19,,34,2628,119,86,,,,0.04,17377,0.89,89204,29,36,14,9,5,36,23,36,221,8319,1175,91,31849,49.1,6738
Alaska,Kenai Peninsula,79.2,808,32,24,12,8,,7890,4359,41,45,34,5324,146,88,6,,,0.07,17859,0.77,68448,36,64,27,15,4,77,59,25,42,16409,2316,83,59414,47.9,43953
Alaska,Ketchikan Gateway,80.2,163,,,12,9,,1790,54,,,32,1306,160,83,,,,0.04,19155,0.85,76780,40,,10,5,,17,12,66,224,3385,702,87,13747,49,3125
Alaska,Kodiak Island,80.5,131,,,10,9,,1550,1560,,,34,1666,123,83,,,,0.11,20579,0.78,72028,49,,24,3,,18,14,20,116,2102,411,86,12992,46.7,4257
Alaska,Kusilvak,67.7,137,29,26,27,20,,2360,,,,42,1012,60,68,30,,,0.11,,0.83,37566,100,,21,,21,46,27,,0,1255,152,66,8328,46.8,
Alaska,Lake and Peninsula,,25,,,18,14,,230,679,,,38,218,201,,,,,0.4,,0.62,54386,84,,19,,,,,0,0,236,20,69,1493,48.6,1631
Alaska,Matanuska-Susitna,79,1200,45,34,11,8,,12680,7286,57,103,33,9402,91,85,11,,,0.02,14989,0.75,89502,35,42,18,24,7,131,132,18,58,24545,4046,88,110213,48.1,44759
Alaska,Nome,70.3,169,22,,18,14,,1890,1442,,10,38,1208,161,84,22,,,0.32,26028,1,64309,93,,20,3,,36,19,74,0,1716,292,78,9909,47.4,6270
Alaska,North Slope,76.2,108,12,,14,11,,1290,670,,,34,956,65,78,14,,,0.14,36416,0.94,94759,31,22,17,,,13,18,65,0,932,162,72,9294,38.8,5595
Alaska,Northwest Arctic,71.3,112,20,,20,15,,1720,2198,,,40,973,144,68,26,,,0.13,36689,0.97,65194,94,,21,,,32,18,56,0,1021,130,78,7644,45.9,4323
Alaska,Petersburg,80.6,42,,,11,8,,410,25,,,33,349,91,,,,,0.01,20624,0.87,66096,56,,22,4,,,,0,0,850,119,80,3296,48.5,
Alaska,Prince of Wales-Hyder,76.4,115,,,15,11,,1170,491,,11,36,782,130,,,,,0.27,31881,0.84,53638,58,,22,1,,,,,0,1731,181,69,6147,45,
Alaska,Sitka,80.9,94,,,11,8,,980,555,,,31,800,131,87,,,,0.13,19938,0.76,79363,53,,20,5,,,,23,174,2171,348,85,8405,48.8,1854
Alaska,Skagway,,,,,10,8,,150,1,,,31,97,339,,,,,,22922,0.89,78421,2,,20,,,,,0,67,263,6,89,1179,47.8,
Alaska,Southeast Fairbanks,77.2,100,,,12,9,,990,695,,,32,850,43,,,,,0.28,27423,0.84,64544,46,,24,,,10,12,0,4,1669,139,70,6957,45.5,7029
Alaska,Valdez-Cordova,78,132,,,11,8,,1040,997,,14,31,912,107,,,,,0.2,21288,0.65,,41,,,,,,,23,9,2497,207,83,9346,47,9636
Alaska,Wrangell,79.2,39,,,13,9,,340,119,,,34,280,0,,,,,0.04,21393,0.89,64643,3,,19,,,,,0,0,705,54,81,2510,47.5,
Alaska,Yakutat,,,,,13,11,,80,1,,,36,70,0,,,,,,,0.64,68352,6,,21,,,,,,0,114,7,82,637,45.7,662
Alaska,Yukon-Koyukuk,72.5,98,,,18,14,,1180,2418,,,39,731,236,67,20,,,0.33,,1.03,43060,42,,20,1,32,,,0,2,1380,144,46,5077,47.2,5588
Arizona,,79.1,90822,3255,3213,12,10,17296,918940,554825,6127,6554,35,648267,109,78,8,,,0.25,8573,0.84,64652,51,49,23,,6,6810,5776,,479,1727176,346027,87,7421401,50.3,651358
Arizona,Apache,70.1,1620,51,64,22,16,111,16900,25275,40,307,40,9754,92,79,15,,,0.61,15448,0.85,36319,63,69,38,14,14,121,61,,6,17134,1296,41,71875,50.7,52967
Arizona,Cochise,78.2,1961,56,56,14,11,212,17830,20429,96,117,35,8334,97,89,10,,,0.24,10478,0.77,51171,54,59,22,40,3,156,129,,93,35181,5244,83,127450,49.2,47680
Arizona,Coconino,78,1708,66,57,13,9,176,20700,17901,101,209,33,13878,115,84,3,,,0.23,13839,0.89,57146,42,56,24,62,7,195,112,,242,29789,7366,79,142481,50.7,42297
Arizona,Gila,72.7,1274,42,31,15,11,47,9350,5904,50,105,40,4609,79,71,15,,,0.39,12781,0.77,49280,57,60,28,12,8,108,82,,149,16934,2293,72,54303,50.3,22008
Arizona,Graham,77,495,27,,15,12,29,5630,5860,30,43,36,2869,92,87,11,,,0.27,9726,0.79,55419,46,53,20,8,4,34,26,,85,8113,1076,79,39211,46.5,17284
Arizona,Greenlee,79.9,101,,,13,12,7,1160,1185,,12,35,477,64,92,,,,0.1,9163,0.57,67530,41,45,16,3,,13,,,0,1682,125,86,9341,48.1,3929
Arizona,La Paz,77.7,528,13,,16,12,23,3870,5427,18,55,39,2167,74,89,,,,0.09,12076,0.85,41637,67,73,23,6,12,38,39,,77,7129,908,64,21480,48.9,11541
Arizona,Maricopa,79.6,48839,1977,2005,12,10,11803,506640,210290,3918,3377,35,403927,120,77,8,,,0.2,9035,0.85,71799,49,45,15,1418,6,3549,3197,,651,1008487,214893,89,4579081,50.6,90229
Arizona,Mohave,75.5,5100,82,79,15,10,269,34740,37430,146,263,39,16225,87,78,16,,,0.1,9900,0.82,46678,56,71,21,52,5,362,299,,109,63681,10267,82,217206,49.6,45970
Arizona,Navajo,71.4,2303,105,86,18,14,134,22650,27938,79,279,37,11793,105,76,14,,,0.38,12051,0.75,46698,61,76,30,28,13,203,131,,81,25372,3711,65,112112,49.8,58171
Arizona,Pima,78.5,14242,420,388,13,10,2668,136740,87525,977,897,35,92170,109,73,7,,,0.18,9565,0.86,56551,51,44,24,348,6,1085,921,,343,263142,58197,88,1061175,50.8,73750
Arizona,Pinal,81.8,5589,188,188,13,11,1028,51730,53409,270,422,40,34130,53,82,11,,,0.09,9926,0.79,66992,57,54,20,83,5,366,326,,106,114923,15360,87,480828,48.3,82311
Arizona,Santa Cruz,81.2,487,22,,16,15,58,6760,8689,33,42,35,5079,28,92,9,,,0.33,12010,0.87,44402,77,79,25,15,4,22,15,,95,10883,1931,78,46808,51.8,12748
Arizona,Yavapai,78.4,3946,88,82,12,8,281,31400,27392,234,242,33,19344,107,81,6,,,0.06,11678,0.85,58860,52,65,24,72,3,421,316,,122,73506,14130,85,240226,51.1,70057
Arizona,Yuma,80.5,2629,111,123,16,13,286,38200,20170,131,184,34,23511,79,90,10,,,0.16,9089,0.82,54278,70,56,18,79,4,137,116,,239,51220,9230,81,217824,48.4,20416
Arkansas,,75.5,50906,1883,1993,16,12,5939,499950,292058,1378,3956,37,223118,101,88,9,2.9,2.8,0.29,10179,0.81,51146,66,66,23,,9,2869,2980,,167,770477,118606,77,3030522,50.9,1278329
Arkansas,Arkansas,72.9,399,10,,17,12,39,2940,4500,,40,36,1114,52,85,,2.7,2.6,0.09,10029,0.71,51186,85,29,25,12,9,11,19,21,80,4885,650,71,17383,51.8,6601
Arkansas,Ashley,73.8,422,11,,18,13,23,3280,2064,14,38,37,1470,83,90,,2.6,2.7,0.05,9605,0.76,44677,66,24,22,14,11,13,24,36,36,5958,728,65,19339,51.5,11294
Arkansas,Baxter,76.1,870,,,15,10,37,6690,2333,22,52,32,2540,152,87,13,3.1,2.9,0.03,9855,0.83,44833,60,,30,18,6,71,63,23,84,14346,1332,78,42242,51.6,27333
Arkansas,Benton,79.5,2877,155,156,14,10,272,31180,14805,108,195,33,22223,80,90,8,3.3,3.1,0.12,9980,0.77,78678,41,47,27,142,2,215,142,16,151,65702,7303,78,288774,50.1,55689
Arkansas,Boone,76.1,647,17,,16,10,24,6000,3259,13,47,35,2482,106,91,15,3.3,3.2,0.06,9971,0.87,48153,58,,26,17,6,45,36,4,93,10835,1088,83,37625,50.7,22953
Arkansas,Bradley,72.2,213,13,,17,13,12,1890,1175,,26,38,952,28,89,,2.7,2.6,0.02,11189,0.82,41578,100,20,23,10,,12,11,39,37,2671,443,70,10639,51.5,5707
Arkansas,Calhoun,72.9,133,,,17,12,9,720,1325,,12,37,311,98,,,2.5,2.9,0.01,11027,0.8,50865,73,13,19,3,,,,,17,1465,115,68,5113,49.2,5368
Arkansas,Carroll,76.1,555,20,,16,11,55,4010,1881,21,51,35,2721,32,87,16,2.8,2.7,0.08,11035,0.79,45397,73,59,20,11,,33,21,17,1,8320,955,74,28276,50.2,19990
Arkansas,Chicot,72.2,232,10,,19,16,27,2250,1900,,15,41,575,191,92,,2.3,2.2,0.07,13014,0.77,35992,100,57,26,12,18,,13,36,31,2702,393,71,9924,49.8,6405
Arkansas,Clark,75.3,367,,,16,12,29,3800,2462,,33,36,1259,90,83,,2.4,2.2,0.03,10725,0.91,46464,62,26,21,15,,14,14,,145,4920,1140,71,22103,52.3,12504
Arkansas,Clay,73,330,13,,18,11,9,3040,1142,10,40,36,958,70,92,17,2.8,2.6,0.05,9299,0.72,43723,68,,20,12,,13,12,16,37,4363,565,72,14375,51,9466
Arkansas,Cleburne,75.2,509,19,,16,10,24,4100,1719,10,46,34,1645,76,92,,3.2,2.9,0.04,11338,0.78,49964,63,62,22,10,9,26,29,,19,8504,713,79,24935,50.8,19613
Arkansas,Cleveland,75.1,165,,,17,12,9,1370,662,,19,36,460,63,96,,2.8,2.5,0.11,9540,0.85,57697,60,18,17,3,,,,11,7,2470,160,65,7957,50.9,8689
Arkansas,Columbia,73.9,436,14,,18,14,33,4260,2114,,35,39,1452,60,91,,2.9,2.8,0.12,10579,0.82,44925,66,40,28,16,9,16,27,,48,5820,1102,66,23331,51.8,14114
Arkansas,Conway,75.3,377,15,,17,11,29,3780,2074,,32,35,1373,38,89,,2.9,2.7,0.07,10304,0.56,47049,89,33,25,13,,15,,13,68,5966,681,71,21037,50.8,15001
Arkansas,Craighead,76.1,1515,75,86,16,11,166,17140,8798,26,133,35,7940,191,91,6,2.9,2.8,0.22,9453,0.84,51797,71,47,24,65,8,86,94,21,192,24055,4567,82,112245,51.6,31024
Arkansas,Crawford,76.4,1042,31,33,17,11,58,10370,8168,30,64,35,4962,27,91,13,2.8,2.7,0.08,10230,0.72,54534,64,75,22,21,4,70,45,14,166,18205,1950,77,63409,50.9,32189
